Title,Location,Price,Area
                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²
                        Apartment Grote Bickersstraat 23 H                            ,            1013 KN Amsterdam (Haarlemmerbuurt)        ,"                €2,000 per month            ",62 m²
                        Apartment Prins Hendrikkade                            ,            1011 AN Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,250 per month            ",65 m²
                        Apartment Prins Hendrikkade                            ,            1011 AN Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,250 per month            ",65 m²
                        Apartment Leliegracht 39 C                            ,            1016 GS Amsterdam (Grachtengordel-West)        ,"                €2,350 per month            ",80 m²
                        Apartment Haarlemmerdijk 8 II                            ,            1013 JC Amsterdam (Haarlemmerbuurt)        ,"                €1,900 per month            ",75 m²
                        Apartment Van Eeghenstraat                            ,            1071 EZ Amsterdam (Museumkwartier)        ,"                €2,800 per month            ",81 m²
                        Apartment Giessenburg 37                            ,            1082 CV Amsterdam (Buitenveldert-West)        ,"                €1,760 per month            ",66 m²
                        Apartment Sluisstraat                            ,            1075 TB Amsterdam (Schinkelbuurt)        ,"                €1,850 per month            ",52 m²
                        Apartment Jan Evertsenstraat                            ,            1057 BS Amsterdam (Hoofdweg e.o.)        ,"                €1,750 per month            ",65 m²
                        Apartment Astasiastraat 27 H                            ,            1035 VH Amsterdam (Kadoelen)        ,"                €1,700 per month            ",65 m²
                        Apartment Borgerstraat 44 A                            ,            1053 PT Amsterdam (Van Lennepbuurt)        ,                €950 per month            ,34 m²
                        Apartment Pieter Cornelisz. Hooftstraat 58 2                            ,            1071 CA Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",55 m²
                        Apartment Geldersekade                            ,            1011 EK Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,500 per month            ",55 m²
                        Apartment Oudezijds Achterburgwal                            ,            1012 DB Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,850 per month            ",69 m²
                        Apartment Plantage Kerklaan                            ,            1018 TA Amsterdam (Weesperbuurt/Plantage)        ,"                €2,395 per month            ",65 m²
                        Apartment Eemsstraat 12 H                            ,            1079 TG Amsterdam (Rijnbuurt)        ,"                €1,450 per month            ",50 m²
                        Apartment De Rijpgracht 31 2                            ,            1056 XR Amsterdam (Landlust)        ,"                €1,900 per month            ",53 m²
                        Apartment Dina Appeldoornstraat                            ,            1076 AX Amsterdam (Prinses Irenebuurt e.o.)        ,"                €2,950 per month            ",110 m²
                        Apartment Westerstraat                            ,            1015 LZ Amsterdam (Jordaan)        ,"                €1,650 per month            ",35 m²
                        Apartment Kazernestraat 16 2                            ,            1018 CC Amsterdam (Weesperbuurt/Plantage)        ,"                €1,800 per month            ",63 m²
                        Apartment Wethouder Frankeweg 9 1                            ,            1098 KV Amsterdam (Middenmeer)        ,"                €1,750 per month            ",74 m²
                        Apartment Afroditekade                            ,            1076 DZ Amsterdam (Stadionbuurt)        ,"                €2,200 per month            ",100 m²
                        Apartment Nassaukade                            ,            1052 CH Amsterdam (Staatsliedenbuurt)        ,"                €3,250 per month            ",144 m²
                        Apartment Leusdenhof 225                            ,            1108 DJ Amsterdam (Nellestein)        ,"                €1,650 per month            ",74 m²
                        Apartment Oldengaarde                            ,            1083 TJ Amsterdam (Buitenveldert-Oost)        ,"                €1,500 per month            ",46 m²
                        Apartment Woestduinstraat                            ,            1059 SX Amsterdam (Hoofddorppleinbuurt)        ,"                €2,975 per month            ",115 m²
                        Apartment Nicolaas Maesstraat                            ,            1071 RD Amsterdam (Museumkwartier)        ,"                €2,800 per month            ",73 m²
                        Apartment Tugelaweg                            ,            1091 VW Amsterdam (Weesperzijde)        ,"                €2,350 per month            ",67 m²
                        Apartment Paardekraalstraat                            ,            1092 JB Amsterdam (Transvaalbuurt)        ,"                €2,150 per month            ",67 m²
                        Apartment Henrick de Keijserplein 16                            ,            1073 SX Amsterdam (Zuid Pijp)        ,"                €1,750 per month            ",56 m²
                        Apartment Amstelkade                            ,            1078 BA Amsterdam (Scheldebuurt)        ,"                €2,700 per month            ",104 m²
